dataset,method,probe,test_fold,bin,f1_macro,n_test
aef,shrink_a0.01,linear,5,overall,0.5840098416939802,16640
aef,shrink_a0.01,linear,5,tiny(<50),0.3535817011729486,2437
aef,shrink_a0.01,linear,5,small(50-150),0.5030015269144982,6214
aef,shrink_a0.01,linear,5,medium(150-500),0.6438851954977537,5956
aef,shrink_a0.01,linear,5,large(>500),0.6788586086593124,2033
aef,shrink_a0.01,knn,5,overall,0.4736422905808818,16640
aef,shrink_a0.01,knn,5,tiny(<50),0.3189787542464699,2437
aef,shrink_a0.01,knn,5,small(50-150),0.3895277915331034,6214
aef,shrink_a0.01,knn,5,medium(150-500),0.5143565326284733,5956
aef,shrink_a0.01,knn,5,large(>500),0.5945732021015119,2033
aef,shrink_a0.05,linear,1,overall,0.5922159036085026,17229
aef,shrink_a0.05,linear,1,tiny(<50),0.3385143706046098,2468
aef,shrink_a0.05,linear,1,small(50-150),0.5006626271217607,6598
aef,shrink_a0.05,linear,1,medium(150-500),0.6509276214811823,6256
aef,shrink_a0.05,linear,1,large(>500),0.7307226110352865,1907
aef,shrink_a0.05,knn,1,overall,0.4718073296658599,17229
aef,shrink_a0.05,knn,1,tiny(<50),0.3020449338518473,2468
aef,shrink_a0.05,knn,1,small(50-150),0.3899918345693727,6598
aef,shrink_a0.05,knn,1,medium(150-500),0.5122646951505709,6256
aef,shrink_a0.05,knn,1,large(>500),0.5813445669177167,1907
aef,shrink_a0.05,linear,2,overall,0.587099102979175,17559
aef,shrink_a0.05,linear,2,tiny(<50),0.3520281895996888,2846
aef,shrink_a0.05,linear,2,small(50-150),0.5080929465189225,6651
aef,shrink_a0.05,linear,2,medium(150-500),0.6514387503154744,6126
aef,shrink_a0.05,linear,2,large(>500),0.6868599723689719,1936
aef,shrink_a0.05,knn,2,overall,0.4624376342307151,17559
aef,shrink_a0.05,knn,2,tiny(<50),0.2970435362572357,2846
aef,shrink_a0.05,knn,2,small(50-150),0.3892526031142407,6651
aef,shrink_a0.05,knn,2,medium(150-500),0.509433191979316,6126
aef,shrink_a0.05,knn,2,large(>500),0.5653920553358762,1936
aef,shrink_a0.05,linear,3,overall,0.585696636925209,17045
aef,shrink_a0.05,linear,3,tiny(<50),0.4077296467576752,2620
aef,shrink_a0.05,linear,3,small(50-150),0.5044638746878869,6288
aef,shrink_a0.05,linear,3,medium(150-500),0.6495819029437356,6205
aef,shrink_a0.05,linear,3,large(>500),0.7067532721498324,1932
aef,shrink_a0.05,knn,3,overall,0.4708593499914504,17045
aef,shrink_a0.05,knn,3,tiny(<50),0.3202254771463284,2620
aef,shrink_a0.05,knn,3,small(50-150),0.3979431865640441,6288
aef,shrink_a0.05,knn,3,medium(150-500),0.5104109326648194,6205
aef,shrink_a0.05,knn,3,large(>500),0.5518020334451956,1932
aef,shrink_a0.05,linear,4,overall,0.6104776450938307,17478
aef,shrink_a0.05,linear,4,tiny(<50),0.3683590663123158,2498
aef,shrink_a0.05,linear,4,small(50-150),0.5267250257587068,6773
aef,shrink_a0.05,linear,4,medium(150-500),0.679520065724672,6372
aef,shrink_a0.05,linear,4,large(>500),0.7470486246367033,1835
aef,shrink_a0.05,knn,4,overall,0.4820091620850981,17478
aef,shrink_a0.05,knn,4,tiny(<50),0.2858906727625964,2498
aef,shrink_a0.05,knn,4,small(50-150),0.4059358259696467,6773
aef,shrink_a0.05,knn,4,medium(150-500),0.537208148585774,6372
aef,shrink_a0.05,knn,4,large(>500),0.5759961798764192,1835
aef,shrink_a0.05,linear,5,overall,0.5852719520007769,16640
aef,shrink_a0.05,linear,5,tiny(<50),0.354826078552485,2437
aef,shrink_a0.05,linear,5,small(50-150),0.5018768810954307,6214
aef,shrink_a0.05,linear,5,medium(150-500),0.6458881393757523,5956
aef,shrink_a0.05,linear,5,large(>500),0.6839852281408494,2033
