dataset,method,bin,f1,n,best_c
olmoearth,signed_sqrt_mean,"tiny
(<50)",0.3344165674464946,2437,100.0
olmoearth,signed_sqrt_mean,"small
(50-150)",0.4349642676562294,6214,100.0
olmoearth,signed_sqrt_mean,"medium
(150-500)",0.5643332039988826,5956,100.0
olmoearth,signed_sqrt_mean,"large
(>500)",0.6114903201394989,2033,100.0
olmoearth,stats,overall,0.5406580958248787,16640,1.0
olmoearth,stats,"tiny
(<50)",0.31506012254654603,2437,1.0
olmoearth,stats,"small
(50-150)",0.46105948867872737,6214,1.0
olmoearth,stats,"medium
(150-500)",0.6009985754549262,5956,1.0
olmoearth,stats,"large
(>500)",0.6578900178099872,2033,1.0
olmoearth,std,overall,0.22822046871791773,16640,100.0
olmoearth,std,"tiny
(<50)",0.10191445837116146,2437,100.0
olmoearth,std,"small
(50-150)",0.16140692890035463,6214,100.0
olmoearth,std,"medium
(150-500)",0.2629666756090198,5956,100.0
olmoearth,std,"large
(>500)",0.3055367359659687,2033,100.0
olmoearth,trimmed_mean,overall,0.5490048383769436,16640,10.0
olmoearth,trimmed_mean,"tiny
(<50)",0.3160734376314308,2437,10.0
olmoearth,trimmed_mean,"small
(50-150)",0.46276088952727523,6214,10.0
olmoearth,trimmed_mean,"medium
(150-500)",0.607905430344298,5956,10.0
olmoearth,trimmed_mean,"large
(>500)",0.653940234471603,2033,10.0
olmoearth,whitened_mean,overall,0.5472309657805513,16640,1.0
olmoearth,whitened_mean,"tiny
(<50)",0.329438876479657,2437,1.0
olmoearth,whitened_mean,"small
(50-150)",0.45789821355245386,6214,1.0
olmoearth,whitened_mean,"medium
(150-500)",0.6045728104246322,5956,1.0
olmoearth,whitened_mean,"large
(>500)",0.6540987212117443,2033,1.0
